,City,Country,Photo,Overall Score,Quality of life score,Family score,Cost/month (USD),Internet Mbps,Fun,Safety,Education level,English speaking,Walkability,Peace,Traffic safety,Hospitals,Happiness,Nightlife,Free WiFi in city,Places to work from,Friendly to foreigners,Freedom of speech,Racial tolerance,Female friendly,LGBTQ friendly,Startup Score,Best taxi app in country,Best wireless carrier,Tipping,Cashless society,Safe tap water,Population,Temperature (°C) Jan,Temperature (°C) Feb,Temperature (°C) Mar,Temperature (°C) Apr,Temperature (°C) May,Temperature (°C) Jun,Temperature (°C) Jul,Temperature (°C) Aug,Temperature (°C) Sep,Temperature (°C) Oct,Temperature (°C) Nov,Temperature (°C) Dec
653,Osaka,Japan,https://nomadlist.com/assets/img/places/osaka-japan-500px.jpg,3.44,4,3,2581.0,26.0,3.0,Great,4.0,1.0,5.0,4.0,3.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,1.0,3.0,4.0,2.0,Line,B,No,Yes,Yes,2700000.0,9,11,13,18,24,26,29,32,30,23,18,12
654,"Colorado Springs, CO",United States,https://nomadlist.com/assets/img/places/colorado-springs-co-united-states-500px.jpg,3.4,4,3,2959.0,39.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,470000.0,6,6,10,16,14,22,27,27,25,15,10,7
655,"Princeton, NJ",United States,https://nomadlist.com/assets/img/places/princeton-nj-united-states-500px.jpg,3.4,4,3,3157.0,65.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,Uber,Verizon,No,Yes,Yes,12000.0,2,4,8,17,22,25,29,28,25,18,10,6
656,"Senggigi, Lombok",Indonesia,https://nomadlist.com/assets/img/places/senggigi-lombok-indonesia-500px.jpg,3.41,3,2,595.0,8.0,2.0,Good,3.0,3.0,2.0,3.0,2.0,,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,GoJEK,Telkomsel,No,No,No,10000.0,29,29,29,30,30,29,28,28,28,29,30,30
657,Livingstone,Zambia,https://nomadlist.com/assets/img/places/livingstone-zambia-500px.jpg,3.41,3,3,1258.0,3.0,3.0,Good,3.0,4.0,5.0,3.0,2.0,,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,,Zamtel,,,No,140000.0,24,25,28,33,38,39,38,37,38,36,29,23
658,Kaohsiung,Taiwan,https://nomadlist.com/assets/img/places/kaohsiung-taiwan-500px.jpg,3.46,4,3,1072.0,25.0,2.0,Great,4.0,1.0,5.0,3.0,3.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,Uber,ChungHwa,No,No,No,1400000.0,25,26,27,30,29,31,31,31,31,29,27,25
659,Astana,Kazakhstan,https://nomadlist.com/assets/img/places/astana-kazakhstan-500px.jpg,3.44,3,2,1221.0,9.0,2.0,Good,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,,3.0,2.0,2.0,Yandex,httpwwwkcellkz,,,No,810000.0,-10,-10,-1,11,19,20,27,24,15,13,-8,-6
660,"Oregon City, OR",United States,https://nomadlist.com/assets/img/places/oregon-city-or-united-states-500px.jpg,3.46,4,4,3126.0,47.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,,4.0,3.0,4.0,5.0,,4.0,5.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,36000.0,8,6,11,14,19,21,24,25,20,15,12,8
661,Nottingham,United Kingdom,https://nomadlist.com/assets/img/places/nottingham-united-kingdom-500px.jpg,3.46,4,4,3275.0,24.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,Uber,Three,No,Yes,Yes,290000.0,5,10,10,12,15,16,20,20,17,12,8,7
662,"Spokane Valley, WA",United States,https://nomadlist.com/assets/img/places/spokane-valley-wa-united-states-500px.jpg,3.46,3,3,2946.0,68.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,,,4.0,5.0,3.0,5.0,3.0,Uber,ATT,No,Yes,Yes,94000.0,2,-2,6,13,20,23,25,27,20,11,6,3
663,Moncton,Canada,https://nomadlist.com/assets/img/places/moncton-canada-500px.jpg,3.46,4,4,3179.0,24.0,3.0,Good,4.0,5.0,5.0,4.0,3.0,,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,Uber,Wind,No,Yes,Yes,72000.0,-3,-4,0,7,14,21,25,25,20,15,5,-1
664,"Jackson, TN",United States,https://nomadlist.com/assets/img/places/jackson-tn-united-states-500px.jpg,3.39,4,3,2831.0,29.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,67000.0,8,10,14,20,27,28,30,29,31,20,11,11
665,"Valdosta, GA",United States,https://nomadlist.com/assets/img/places/valdosta-ga-united-states-500px.jpg,3.44,4,3,2770.0,69.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,,4.0,4.0,4.0,5.0,3.0,Uber,Verizon,No,Yes,Yes,56000.0,15,21,21,25,29,31,31,31,31,27,18,18
666,"Iowa City, IA",United States,https://nomadlist.com/assets/img/places/iowa-city-ia-united-states-500px.jpg,3.44,4,4,2927.0,33.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,,4.0,5.0,3.0,5.0,3.0,Uber,T,No,Yes,Yes,74000.0,-3,-4,5,14,18,25,30,26,25,13,5,5
667,Krasnoyarsk,Russia,https://nomadlist.com/assets/img/places/krasnoyarsk-russia-500px.jpg,3.48,3,3,1640.0,15.0,4.0,Okay,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,Yandex,Beeline,No,Yes,No,1000000.0,-9,-6,2,7,14,24,24,23,16,6,-9,-7
668,Nantes,France,https://nomadlist.com/assets/img/places/nantes-france-500px.jpg,3.45,4,3,2502.0,26.0,3.0,Good,4.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,Uber,Mobile,No,Yes,Yes,280000.0,8,11,13,13,17,20,26,24,21,17,10,11
669,Bishkek,Kyrgyzstan,https://nomadlist.com/assets/img/places/bishkek-kyrgyzstan-500px.jpg,3.44,3,2,906.0,6.0,3.0,Okay,3.0,2.0,5.0,3.0,2.0,,2.0,3.0,5.0,5.0,5.0,4.0,,2.0,2.0,2.0,,Megacom,,,No,960000.0,4,5,13,16,20,24,33,30,23,19,8,4
670,"Pittsburgh, PA",United States,https://nomadlist.com/assets/img/places/pittsburgh-pa-united-states-500px.jpg,3.43,4,4,3469.0,119.0,4.0,Great,4.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,300000.0,1,3,6,18,23,24,28,27,25,18,7,5
671,"Las Cruces, NM",United States,https://nomadlist.com/assets/img/places/las-cruces-nm-united-states-500px.jpg,3.45,4,3,2998.0,37.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,,,4.0,5.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,100000.0,12,14,19,23,25,32,34,33,30,23,16,11
672,Nuku'alofa,Tonga,https://nomadlist.com/assets/img/places/nukualofa-tonga-500px.jpg,3.44,3,3,1896.0,1.0,2.0,Great,3.0,3.0,3.0,,3.0,,,1.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,,Digicel,,,No,24000.0,28,29,28,27,25,25,24,24,24,25,25,28
673,"Corralejo, Canary Islands",Spain,https://nomadlist.com/assets/img/places/corralejo-canary-islands-spain-500px.jpg,3.42,4,3,2246.0,44.0,5.0,Good,4.0,3.0,1.0,4.0,3.0,,4.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,Uber,Movistar,No,Yes,Yes,20000.0,19,20,20,21,22,23,23,24,24,24,22,21
674,Harare,Zimbabwe,https://nomadlist.com/assets/img/places/harare-zimbabwe-500px.jpg,3.43,3,3,2458.0,3.0,3.0,Okay,2.0,5.0,2.0,3.0,3.0,,1.0,2.0,1.0,5.0,3.0,3.0,,1.0,1.0,3.0,,Econet,,Yes,No,1500000.0,24,25,26,24,22,19,21,22,26,28,27,27
675,Skopje,North Macedonia,https://nomadlist.com/assets/img/places/skopje-north-macedonia-500px.jpg,3.46,4,3,1208.0,26.0,3.0,Okay,,3.0,5.0,,3.0,,,2.0,3.0,5.0,3.0,,,2.0,2.0,3.0,,Makedonskiingsnowboardingsnow,,,No,540000.0,3,9,17,17,20,28,30,33,28,24,16,9
676,"Santa Rosa, CA",United States,https://nomadlist.com/assets/img/places/santa-rosa-ca-united-states-500px.jpg,3.4,4,3,3184.0,56.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,,4.0,4.0,3.0,5.0,3.0,Uber,ATT,No,Yes,Yes,180000.0,13,12,14,19,18,24,25,26,26,22,20,12
677,San Luis Potosi,Mexico,https://nomadlist.com/assets/img/places/san-luis-potosi-mexico-500px.jpg,3.41,3,3,957.0,10.0,2.0,Okay,3.0,3.0,5.0,2.0,3.0,,4.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,5.0,2.0,Uber,Telcel,No,No,No,2700000.0,20,23,24,26,29,26,24,25,22,22,21,21
678,"Dubuque, IA",United States,https://nomadlist.com/assets/img/places/dubuque-ia-united-states-500px.jpg,3.39,4,3,3066.0,37.0,3.0,Great,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,,,4.0,5.0,3.0,5.0,3.0,Uber,T,No,Yes,Yes,58000.0,-4,-4,4,13,17,23,29,25,23,13,3,3
679,Hua Hin,Thailand,https://nomadlist.com/assets/img/places/hua-hin-thailand-500px.jpg,3.44,3,2,1314.0,23.0,2.0,Good,3.0,2.0,1.0,3.0,2.0,,4.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,Grab,AIS,No,Yes,No,58000.0,30,31,32,34,33,32,32,30,30,31,30,30
680,Agadir,Morocco,https://nomadlist.com/assets/img/places/agadir-morocco-500px.jpg,3.4,3,2,1280.0,7.0,3.0,Good,2.0,2.0,5.0,3.0,2.0,,3.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,Uber,Meditel,,No,No,420000.0,19,23,22,23,25,24,25,27,26,25,23,21
681,Kosice,Slovakia,https://nomadlist.com/assets/img/places/kosice-slovakia-500px.jpg,3.44,4,3,1889.0,27.0,4.0,Good,4.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,5.0,,4.0,1.0,3.0,Taxify,O2,No,Yes,Yes,240000.0,-2,5,11,16,17,25,23,26,20,18,11,4
682,Langkawi,Malaysia,https://nomadlist.com/assets/img/places/langkawi-malaysia-500px.jpg,3.43,3,2,1257.0,15.0,3.0,Good,3.0,2.0,5.0,4.0,2.0,,4.0,2.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,Grab,Hotlink,No,No,No,65000.0,30,31,31,32,31,31,31,30,30,30,30,30
683,Bandung,Indonesia,https://nomadlist.com/assets/img/places/bandung-indonesia-500px.jpg,3.38,3,2,737.0,8.0,3.0,Great,3.0,2.0,5.0,3.0,2.0,,3.0,2.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,GoJEK,XL,No,No,No,2400000.0,26,26,26,27,27,28,27,27,28,28,28,27
684,Lethbridge,Canada,https://nomadlist.com/assets/img/places/lethbridge-canada-500px.jpg,3.44,4,4,3424.0,24.0,5.0,Good,4.0,5.0,3.0,4.0,3.0,,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,Uber,Wind,No,Yes,Yes,93000.0,2,-18,2,11,14,20,22,23,18,7,3,0
685,Newcastle Upon Tyne,United Kingdom,https://nomadlist.com/assets/img/places/newcastle-upon-tyne-united-kingdom-500px.jpg,3.44,4,4,3351.0,22.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,Uber,Three,No,Yes,Yes,270000.0,5,10,9,10,13,16,19,19,16,11,7,6
686,"Johnson City, TN",United States,https://nomadlist.com/assets/img/places/johnson-city-tn-united-states-500px.jpg,3.32,4,3,3052.0,31.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,,4.0,3.0,4.0,1.0,,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,66000.0,7,11,13,21,25,25,28,27,28,21,12,12
687,Guanajuato,Mexico,https://nomadlist.com/assets/img/places/guanajuato-mexico-500px.jpg,3.43,3,3,1224.0,14.0,3.0,Okay,3.0,3.0,5.0,2.0,3.0,,4.0,3.0,3.0,1.0,,3.0,3.0,3.0,5.0,2.0,Uber,TelCel,No,No,No,5900000.0,19,22,25,25,27,25,22,23,23,22,21,20
688,Thiruvananthapuram,India,https://nomadlist.com/assets/img/places/thiruvananthapuram-india-500px.jpg,3.41,3,2,916.0,5.0,3.0,Good,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,Ola,Airtel,No,No,No,1700000.0,31,32,32,33,32,30,29,28,29,29,30,31
689,Yogyakarta,Indonesia,https://nomadlist.com/assets/img/places/yogyakarta-indonesia-500px.jpg,3.37,3,2,762.0,11.0,2.0,Great,3.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,GoJEK,Telkomsel,No,No,No,390000.0,30,30,30,31,31,29,29,29,30,31,31,31
690,"Reno, NV",United States,https://nomadlist.com/assets/img/places/reno-nv-united-states-500px.jpg,3.43,3,3,3134.0,44.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,250000.0,7,2,9,15,17,25,28,30,23,16,15,5
691,"Topeka, KS",United States,https://nomadlist.com/assets/img/places/topeka-ks-united-states-500px.jpg,3.45,4,3,2911.0,39.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,,4.0,5.0,3.0,5.0,3.0,Uber,Sprint,No,Yes,Yes,130000.0,1,0,11,19,21,28,30,28,29,17,10,7
692,Luang Prabang,Laos,https://nomadlist.com/assets/img/places/luang-prabang-laos-500px.jpg,3.41,3,2,1059.0,2.0,4.0,Good,2.0,2.0,5.0,3.0,2.0,,,3.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,,Unitel,No,No,No,56000.0,26,31,32,35,36,34,31,31,31,32,29,26
693,"Fort Lauderdale, FL",United States,https://nomadlist.com/assets/img/places/fort-lauderdale-fl-united-states-500px.jpg,3.43,4,4,3542.0,27.0,4.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,180000.0,24,26,26,28,29,31,31,31,30,30,26,25
694,Hermosillo,Mexico,https://nomadlist.com/assets/img/places/hermosillo-mexico-500px.jpg,3.37,3,3,1895.0,11.0,3.0,Good,3.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,Uber,Telcel,No,No,No,880000.0,23,22,28,30,29,36,37,37,34,32,28,21
695,Ko Lipe,Thailand,https://nomadlist.com/assets/img/places/ko-lipe-thailand-500px.jpg,3.42,3,2,1477.0,19.0,3.0,Good,3.0,2.0,3.0,3.0,2.0,,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,Grab,AIS,No,Yes,No,10000.0,30,30,30,31,30,30,30,30,30,29,29,29
696,"Duluth, MN",United States,https://nomadlist.com/assets/img/places/duluth-mn-united-states-500px.jpg,3.43,4,3,3105.0,33.0,3.0,Good,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,,4.0,4.0,4.0,5.0,3.0,Uber,Tmobile,No,Yes,Yes,86000.0,-9,-9,1,6,11,16,25,22,16,9,0,-2
697,"Appleton, WI",United States,https://nomadlist.com/assets/img/places/appleton-wi-united-states-500px.jpg,3.4,4,4,2935.0,37.0,3.0,Great,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,74000.0,-6,-5,3,10,14,22,27,23,20,12,2,0
698,"St. Louis, MO",United States,https://nomadlist.com/assets/img/places/st-louis-mo-united-states-500px.jpg,3.45,4,4,3238.0,51.0,2.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,310000.0,1,4,10,18,24,27,31,29,29,18,8,8
699,Ankara,Turkey,https://nomadlist.com/assets/img/places/ankara-turkey-500px.jpg,3.42,3,3,705.0,12.0,2.0,Good,3.0,3.0,5.0,2.0,3.0,5.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,Uber,AVEA,No,,No,4600000.0,4,9,12,15,22,26,27,28,25,20,14,7
700,Hvar,Croatia,https://nomadlist.com/assets/img/places/hvar-croatia-500px.jpg,3.42,3,2,1706.0,18.0,2.0,Good,4.0,2.0,1.0,4.0,3.0,,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,Cammeo,Hrvatski,No,Yes,Yes,11000.0,9,13,16,17,18,28,29,30,26,22,17,14
701,Bar,Montenegro,https://nomadlist.com/assets/img/places/bar-montenegro-500px.jpg,3.45,4,3,1389.0,23.0,3.0,Good,4.0,2.0,5.0,3.0,3.0,,3.0,3.0,1.0,3.0,5.0,4.0,,2.0,3.0,2.0,CarGo,Telekom,,,No,42000.0,5,10,13,14,15,26,27,28,24,20,14,10
702,"Port St. Lucie, FL",United States,https://nomadlist.com/assets/img/places/port-st-lucie-fl-united-states-500px.jpg,3.41,4,3,3155.0,35.0,3.0,Great,4.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,190000.0,22,25,24,27,28,31,31,31,30,29,25,24
703,"Savannah, GA",United States,https://nomadlist.com/assets/img/places/savannah-ga-united-states-500px.jpg,3.41,4,4,3153.0,41.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,,4.0,4.0,3.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,150000.0,14,19,19,24,28,30,31,30,30,26,17,17
704,"Merced, CA",United States,https://nomadlist.com/assets/img/places/merced-ca-united-states-500px.jpg,3.44,4,3,2885.0,70.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,82000.0,14,12,16,22,23,30,32,33,30,24,20,12
705,"Lexington, KY",United States,https://nomadlist.com/assets/img/places/lexington-ky-united-states-500px.jpg,3.34,3,3,3140.0,35.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,,4.0,3.0,3.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,320000.0,3,8,9,19,24,25,29,28,28,19,8,8
706,Arequipa,Peru,https://nomadlist.com/assets/img/places/arequipa-peru-500px.jpg,3.38,3,3,907.0,8.0,3.0,Good,3.0,2.0,5.0,3.0,2.0,,3.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,Uber,claro,No,,No,780000.0,20,20,21,22,21,21,21,22,22,21,22,21
707,"Palembang, Sumatra",Indonesia,https://nomadlist.com/assets/img/places/palembang-sumatra-indonesia-500px.jpg,3.38,3,2,937.0,8.0,3.0,Good,3.0,3.0,1.0,3.0,2.0,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,GoJEK,Telkomsel,No,No,No,1500000.0,30,29,31,31,30,30,31,32,33,33,32,29
708,"Erie, PA",United States,https://nomadlist.com/assets/img/places/erie-pa-united-states-500px.jpg,3.38,4,4,3036.0,36.0,3.0,Great,4.0,5.0,5.0,3.0,3.0,,4.0,3.0,4.0,1.0,,4.0,3.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,100000.0,-1,1,2,10,15,20,26,25,22,16,6,5
709,"Omaha, NE",United States,https://nomadlist.com/assets/img/places/omaha-ne-united-states-500px.jpg,3.43,4,3,2927.0,45.0,2.0,Good,4.0,5.0,3.0,3.0,3.0,5.0,4.0,2.0,,5.0,4.0,4.0,4.0,3.0,5.0,3.0,Uber,Verizon,No,Yes,Yes,450000.0,-2,-6,5,16,18,26,30,27,26,13,7,3
710,Jena,Germany,https://nomadlist.com/assets/img/places/kaunas-lithuania-500px.jpg,3.39,4,3,1975.0,32.0,3.0,,,,,,,,,,,,,,,,,,MyTaxi,O2,No,No,Yes,110000.0,3,9,10,16,15,25,23,24,19,16,7,6
711,"Hilo, Hawaii",United States,https://nomadlist.com/assets/img/places/hilo-hawaii-united-states-500px.jpg,3.39,4,4,3589.0,41.0,4.0,Good,4.0,5.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,Uber,Verizon,No,Yes,Yes,45000.0,25,24,23,25,26,26,27,28,27,27,27,25
712,Hue,Vietnam,https://nomadlist.com/assets/img/places/hue-vietnam-500px.jpg,3.35,3,2,990.0,12.0,3.0,Good,2.0,2.0,5.0,3.0,2.0,,2.0,2.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,2.0,Grab,Viettel,No,Yes,No,460000.0,24,29,30,33,33,34,33,33,29,30,26,25
713,Trondheim,Norway,https://nomadlist.com/assets/img/places/trondheim-norway-500px.jpg,3.36,4,4,3127.0,39.0,4.0,Good,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,,OneCall,No,,Yes,180000.0,0,3,3,10,10,17,18,19,14,8,2,2
714,Goiania,Brazil,https://nomadlist.com/assets/img/places/goiania-brazil-500px.jpg,3.33,3,3,851.0,9.0,2.0,Okay,3.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0,5.0,2.0,Uber,Vivo,No,Yes,No,1300000.0,29,28,27,28,28,26,27,29,33,30,29,28
715,Casablanca,Morocco,https://nomadlist.com/assets/img/places/casablanca-morocco-500px.jpg,3.35,3,2,1603.0,6.0,4.0,Good,2.0,1.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,Uber,Maroc,,No,No,3400000.0,17,18,19,20,22,23,24,25,26,24,20,19
716,Guayaquil,Ecuador,https://nomadlist.com/assets/img/places/guayaquil-ecuador-500px.jpg,3.11,3,3,1404.0,5.0,3.0,Good,3.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,,5.0,3.0,4.0,3.0,3.0,5.0,2.0,,Claro,No,,No,2300000.0,30,30,30,31,30,30,29,29,29,30,30,31
717,"Brentwood, CA",United States,https://nomadlist.com/assets/img/places/brentwood-ca-united-states-500px.jpg,3.34,4,4,3348.0,70.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,59000.0,14,11,15,21,21,28,29,30,28,23,20,13
718,"Sparks, NV",United States,https://nomadlist.com/assets/img/places/sparks-nv-united-states-500px.jpg,3.34,4,3,3445.0,46.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,,4.0,4.0,4.0,5.0,3.0,Uber,TMobile,No,Yes,Yes,93000.0,7,3,9,16,17,26,29,30,24,16,15,5
719,"Carson City, NV",United States,https://nomadlist.com/assets/img/places/carson-city-nv-united-states-500px.jpg,3.34,4,4,3466.0,36.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,,,4.0,4.0,5.0,5.0,3.0,Uber,Verizon,No,Yes,Yes,54000.0,7,2,9,15,17,24,28,30,24,16,14,4
720,"Kuta, Bali",Indonesia,https://nomadlist.com/assets/img/places/kuta-bali-indonesia-500px.jpg,3.31,3,2,971.0,6.0,1.0,Good,3.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,1.0,2.0,GoJEK,Telkomsel,No,No,No,120000.0,30,31,30,31,30,28,27,27,28,29,31,32
721,Norwich,United Kingdom,https://nomadlist.com/assets/img/places/norwich-united-kingdom-500px.jpg,3.23,4,4,3651.0,22.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,Uber,Three,No,Yes,Yes,140000.0,5,10,11,11,14,18,21,22,18,13,8,8
722,"Davenport, IA",United States,https://nomadlist.com/assets/img/places/davenport-ia-united-states-500px.jpg,3.39,4,3,2894.0,32.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,4.0,1.0,,4.0,5.0,3.0,5.0,3.0,Uber,T,No,Yes,Yes,100000.0,-2,-3,5,13,18,25,29,25,24,14,5,4
723,Ushuaia,Argentina,https://nomadlist.com/assets/img/places/ushuaia-argentina-500px.jpg,3.34,3,3,1285.0,10.0,4.0,Good,4.0,2.0,5.0,3.0,3.0,,4.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,Uber,Claro,No,No,No,60000.0,12,12,13,9,6,4,5,5,6,9,10,12
724,"Dothan, AL",United States,https://nomadlist.com/assets/img/places/dothan-al-united-states-500px.jpg,3.31,3,3,3137.0,34.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,,4.0,3.0,3.0,5.0,3.0,Uber,Verizon,No,Yes,Yes,68000.0,15,20,21,23,29,32,31,31,32,27,18,18
725,São José dos Campos,Brazil,https://nomadlist.com/assets/img/places/sao-jose-dos-campos-brazil-500px.jpg,3.28,3,2,1189.0,18.0,3.0,Bad,3.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,Uber,Vivo,No,Yes,No,530000.0,30,28,26,27,25,24,23,23,25,28,27,28
726,"Fort Smith, AR",United States,https://nomadlist.com/assets/img/places/fort-smith-ar-united-states-500px.jpg,3.35,4,3,3226.0,31.0,3.0,Good,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,,4.0,4.0,3.0,5.0,3.0,Uber,Verizon,No,Yes,Yes,88000.0,8,10,15,22,25,28,30,32,31,20,13,12
727,The Hague,Netherlands,https://nomadlist.com/assets/img/places/the-hague-netherlands-500px.jpg,3.33,4,4,3537.0,32.0,4.0,Good,4.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,Uber,Lebara,No,No,Yes,500000.0,7,9,10,14,14,20,20,21,18,14,9,8
